Timestamp                       Thread     Type        Activity             PID    TTL  
2025-12-10 21:56:39.970363+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] LAContext[3:11:0] deallocated
2025-12-10 21:56:39.970440+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] Creating LAContext new cid:9
2025-12-10 21:56:39.970445+0100 0x89ca52   Default     0x0                  40941  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x105906020] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2025-12-10 21:56:39.970643+0100 0x89d279   Default     0x0                  40941  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x1064075d0] activating connection: mach=true listener=false peer=false name=com.apple.CoreAuthentication.daemon
2025-12-10 21:56:39.972324+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] LAContext[4:12:0] created new cid:9
2025-12-10 21:56:39.973048+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Interactive] setServerPropertyForOption:1018 value:Cancel on LAContext[4:12:0] cid:10 returned success
2025-12-10 21:56:39.973512+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Interactive] setServerPropertyForOption:1000 value:0 on LAContext[4:12:0] cid:11 returned success
2025-12-10 21:56:39.973638+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Interactive] evaluatePolicy:2 options:{
    2 = Authenticate;
} on LAContext[4:12:0] (async) cid:12
2025-12-10 21:56:40.018685+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104b05000> (25A82B42-5273-4227-AE91-3F050AC55873)
2025-12-10 21:56:40.018823+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.UIKit:AppLifecycle] sceneOfRecord: sceneID: sceneID:com.anonymous.App-default  persistentID: 25A82B42-5273-4227-AE91-3F050AC55873
2025-12-10 21:56:40.018880+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 7; deactivation reasons: 0 -> 128; animating application lifecycle event: 0
2025-12-10 21:56:40.020632+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 12; deactivation reasons: 128 -> 4224; animating application lifecycle event: 0
2025-12-10 21:56:40.023623+0100 0x89ca52   Default     0x0                  40941  0    App: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x600002112760; token: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.anonymous.App-default; status: none> was:ancestor
2025-12-10 21:56:40.023663+0100 0x89ca52   Default     0x0                  40941  0    App: (BackBoardServices) [com.apple.BackBoard:EventDelivery] observerPolicyDidChange: 0x600002112760 -> <_UIKeyWindowSceneObserver: 0x600000c2d2c0>
2025-12-10 21:56:40.023693+0100 0x89ca36   Default     0x0                  40941  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 0; scene: UIWindowScene: 0x104b05000; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.anonymous.App-default
2025-12-10 21:56:40.058931+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.KeyboardArbiter:Client] RX keyboardChanged (isLocal:N source:1FD6E0A8-C80B-4F5D-A582-E9D27A6D36EB)
2025-12-10 21:56:40.059071+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.KeyboardArbiter:Client] handleKeyboardChange: set currentKeyboard:N (wasKeyboard:N)
2025-12-10 21:56:40.070868+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.KeyboardArbiter:Client] RX keyboardChangeCompleted
2025-12-10 21:56:54.488083+0100 0x89d6b2   Activity    0x17db84c            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:54.488489+0100 0x89d6b2   Default     0x17db84c            40941  0    App: (Security) [com.apple.securityd:thread-local-client-debug] SecSecurityClientGet new thread!
2025-12-10 21:56:54.492248+0100 0x89d6b2   Activity    0x17db84d            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:54.493017+0100 0x89d6b2   Activity    0x17db84e            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:54.494045+0100 0x89d6b2   Activity    0x17db84f            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:54.495907+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] Creating LAContext new cid:13
2025-12-10 21:56:54.496181+0100 0x89d6b2   Default     0x0                  40941  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x116687830] activating connection: mach=true listener=false peer=false name=com.apple.CoreAuthentication.daemon
2025-12-10 21:56:54.497920+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] LAContext[5:13:0] created new cid:13
2025-12-10 21:56:54.498847+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Biometry] canEvaluatePolicy:1 on LAContext[5:13:0] cid:14 returned Error Domain=com.apple.LocalAuthentication Code=-7 "No identities are enrolled." UserInfo={NSDebugDescription=No identities are enrolled., NSLocalizedDescription=Biometry is not enrolled.}
2025-12-10 21:56:54.498877+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client] returned biometryType: 2
2025-12-10 21:56:54.498905+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] LAContext[5:13:0] deallocated
2025-12-10 21:56:54.498945+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] Creating LAContext new cid:15
2025-12-10 21:56:54.498957+0100 0x89d279   Default     0x0                  40941  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x116687830] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2025-12-10 21:56:54.499044+0100 0x89d6b2   Default     0x0                  40941  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x104be6140] activating connection: mach=true listener=false peer=false name=com.apple.CoreAuthentication.daemon
2025-12-10 21:56:54.499981+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] LAContext[6:14:0] created new cid:15
2025-12-10 21:56:54.500321+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Interactive] setServerPropertyForOption:1018 value:Cancel on LAContext[6:14:0] cid:16 returned success
2025-12-10 21:56:54.500659+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Interactive] setServerPropertyForOption:1000 value:0 on LAContext[6:14:0] cid:17 returned success
2025-12-10 21:56:54.500702+0100 0x89d6b2   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Interactive] evaluatePolicy:2 options:{
    2 = Authenticate;
} on LAContext[6:14:0] (async) cid:18
2025-12-10 21:56:54.506544+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Interactive] evaluatePolicy on LAContext[4:12:0] cid:12 returned Error Domain=com.apple.LocalAuthentication Code=-4 "Canceled by another authentication." UserInfo={BiometryType=2, Subcode=34, NSDebugDescription=Canceled by another authentication., LACErrorCancelledByHigherPriorityAuthenticationKey=false}
2025-12-10 21:56:54.507158+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] LAContext[4:12:0] deallocated
2025-12-10 21:56:54.507223+0100 0x89d279   Default     0x0                  40941  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x1064075d0] invalidated because the current process cancelled the connection by calling xpc_connection_cancel()
2025-12-10 21:56:54.508209+0100 0x89ca62   Error       0x0                  40941  0    App: (React) [com.facebook.react.log:javascript] '[Startup] Authentication failed:', 'system_cancel'
2025-12-10 21:56:54.519340+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <6D7CCB2C-600B-4C57-8720-A8B26EDAD096>.<3> resuming, timeouts(60.0, 604800.0) qos(0x19) voucher((null)) activity(00000000-0000-0000-0000-000000000000)
2025-12-10 21:56:54.525364+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <C4E58138-CA31-4B16-9CE6-78351A95B0A3>.<4> resuming, timeouts(0.0, 604800.0) qos(0x19) voucher((null)) activity(00000000-0000-0000-0000-000000000000)
2025-12-10 21:56:54.525886+0100 0x89ca64   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> resuming, timeouts(60.0, 604800.0) qos(0x19) voucher((null)) activity(00000000-0000-0000-0000-000000000000)
2025-12-10 21:56:54.526762+0100 0x89d279   Activity    0x17dd910            40941  0    App: (Security) SecTrustReportNetworkingAnalytics
2025-12-10 21:56:54.527743+0100 0x89ca64   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> resuming, timeouts(0.0, 604800.0) qos(0x19) voucher((null)) activity(00000000-0000-0000-0000-000000000000)
2025-12-10 21:56:54.528506+0100 0x89d279   Default     0x17dd910            40941  0    App: (Security) [com.apple.securityd:SecError] SecTrustReportNetworkingAnalytics failed with error: -4
2025-12-10 21:56:54.528528+0100 0x89d279   Activity    0x17dd911            40941  0    App: (Security) SecTrustReportNetworkingAnalytics
2025-12-10 21:56:54.528741+0100 0x89d279   Default     0x17dd911            40941  0    App: (Security) [com.apple.securityd:SecError] SecTrustReportNetworkingAnalytics failed with error: -4
2025-12-10 21:56:54.530060+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.KeyboardArbiter:Client] RX keyboardChanged (isLocal:N source:1FD6E0A8-C80B-4F5D-A582-E9D27A6D36EB)
2025-12-10 21:56:54.530204+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.KeyboardArbiter:Client] handleKeyboardChange: set currentKeyboard:N (wasKeyboard:N)
2025-12-10 21:56:54.531603+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 11: starting, TC(0x0)
2025-12-10 21:56:54.531785+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11 64AC99F8-18A5-4F59-9099-DB8CD12AFF9F IPv4#9c08bd63:8081 tcp, url: http://192.168.1.106:8081/assets/, definite, attribution: developer, context: com.apple.CFNetwork.NSURLSession.{900EDA69-E71C-49F7-8CB1-76F1710830B3}{(null)}{Y}{2}{0x0} (private), proc: 1548BA78-A7B9-3386-91AC-060F92001202] start
2025-12-10 21:56:54.532088+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11 IPv4#9c08bd63:8081 initial parent-flow ((null))] event: path:start @0.000s
2025-12-10 21:56:54.536577+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11 IPv4#9c08bd63:8081 waiting parent-flow (satisfied (Path is satisfied), interface: lo0)] event: path:satisfied @0.004s, uuid: 80BA1BF2-8B69-48C0-AADF-B7C98E1C4AAB
2025-12-10 21:56:54.550039+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:start_connect @0.018s
2025-12-10 21:56:54.550069+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_connection_report_state_with_handler_on_nw_queue [C11] reporting state preparing
2025-12-10 21:56:54.550264+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> setting up Connection 11
2025-12-10 21:56:54.550544+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 12: starting, TC(0x0)
2025-12-10 21:56:54.550570+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12 B423F903-22F3-4FA0-B1D8-7791EA680B30 IPv4#9c08bd63:8081 tcp, url: http://192.168.1.106:8081/symbolicate, definite, attribution: developer, context: com.apple.CFNetwork.NSURLSession.{900EDA69-E71C-49F7-8CB1-76F1710830B3}{(null)}{Y}{2}{0x0} (private), proc: 1548BA78-A7B9-3386-91AC-060F92001202] start
2025-12-10 21:56:54.550699+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12 IPv4#9c08bd63:8081 initial parent-flow ((null))] event: path:start @0.000s
2025-12-10 21:56:54.550786+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12 IPv4#9c08bd63:8081 waiting parent-flow (satisfied (Path is satisfied), interface: lo0)] event: path:satisfied @0.000s, uuid: 80BA1BF2-8B69-48C0-AADF-B7C98E1C4AAB
2025-12-10 21:56:54.551318+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:start_connect @0.000s
2025-12-10 21:56:54.551334+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_connection_report_state_with_handler_on_nw_queue [C12] reporting state preparing
2025-12-10 21:56:54.551417+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> setting up Connection 12
2025-12-10 21:56:54.551443+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_socket_handle_socket_event [C11:2] Socket received CONNECTED event
2025-12-10 21:56:54.551536+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_flow_connected [C11 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] Transport protocol connected (socket)
2025-12-10 21:56:54.551552+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:finish_transport @0.019s
2025-12-10 21:56:54.551568+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_flow_connected [C11 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] Output protocol connected (CFNetworkConnection-2199281472)
2025-12-10 21:56:54.551604+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11 IPv4#9c08bd63:8081 ready socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:finish_connect @0.019s
2025-12-10 21:56:54.551894+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_connection_report_state_with_handler_on_nw_queue [C11] reporting state ready
2025-12-10 21:56:54.552007+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11 IPv4#9c08bd63:8081 ready socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:changed_viability @0.020s
2025-12-10 21:56:54.552051+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_connection_send_viability_changed_on_nw_queue [C11] viability_changed_handler(true)
2025-12-10 21:56:54.552096+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 11: connected successfully
2025-12-10 21:56:54.552208+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 11: ready C(N) E(N)
2025-12-10 21:56:54.552410+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> now using Connection 11
2025-12-10 21:56:54.552475+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 11: received viability advisory(Y)
2025-12-10 21:56:54.552672+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> sent request, body N 0
2025-12-10 21:56:54.552734+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_socket_handle_socket_event [C12:2] Socket received CONNECTED event
2025-12-10 21:56:54.552887+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_flow_connected [C12 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] Transport protocol connected (socket)
2025-12-10 21:56:54.552928+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:finish_transport @0.002s
2025-12-10 21:56:54.552962+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_flow_connected [C12 IPv4#9c08bd63:8081 in_progress socket-flow (satisfied (Path is satisfied), interface: lo0)] Output protocol connected (CFNetworkConnection-2199281472)
2025-12-10 21:56:54.553027+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12 IPv4#9c08bd63:8081 ready socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:finish_connect @0.002s
2025-12-10 21:56:54.553091+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_connection_report_state_with_handler_on_nw_queue [C12] reporting state ready
2025-12-10 21:56:54.553114+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12 IPv4#9c08bd63:8081 ready socket-flow (satisfied (Path is satisfied), interface: lo0)] event: flow:changed_viability @0.002s
2025-12-10 21:56:54.553138+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] nw_connection_send_viability_changed_on_nw_queue [C12] viability_changed_handler(true)
2025-12-10 21:56:54.553175+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 12: connected successfully
2025-12-10 21:56:54.553269+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 12: ready C(N) E(N)
2025-12-10 21:56:54.553428+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> now using Connection 12
2025-12-10 21:56:54.553666+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Connection 12: received viability advisory(Y)
2025-12-10 21:56:54.554213+0100 0x89d6ee   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> sent request, body S 2225
2025-12-10 21:56:54.576091+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> received response, status 200 content C
2025-12-10 21:56:54.576563+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> response ended
2025-12-10 21:56:54.576696+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> done using Connection 12
2025-12-10 21:56:54.576768+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12] event: client:connection_idle @0.026s
2025-12-10 21:56:54.576894+0100 0x89d279   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Summary] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> summary for task success {transaction_duration_ms=48, response_status=200, connection=12, protocol="http/1.1", domain_lookup_duration_ms=0, connect_duration_ms=2, secure_connection_duration_ms=0, private_relay=false, request_start_ms=25, request_duration_ms=0, response_start_ms=47, response_duration_ms=1, request_bytes=2492, request_throughput_kbps=8059, response_bytes=2475, response_throughput_kbps=1689, cache_hit=false}
2025-12-10 21:56:54.577001+0100 0x89d554   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C12] event: client:connection_idle @0.026s
2025-12-10 21:56:54.577024+0100 0x89d279   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <7BA8ED2A-D681-4AFD-85B9-4D8C085F2A3D>.<5> finished successfully
2025-12-10 21:56:54.577990+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Summary] Task <C4E58138-CA31-4B16-9CE6-78351A95B0A3>.<4> summary for task success {transaction_duration_ms=52, response_status=200, cache_hit=true}
2025-12-10 21:56:54.578021+0100 0x89d6ee   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> received response, status 200 content K
2025-12-10 21:56:54.578094+0100 0x89d554   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <C4E58138-CA31-4B16-9CE6-78351A95B0A3>.<4> finished successfully
2025-12-10 21:56:54.578217+0100 0x89d6ee   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> response ended
2025-12-10 21:56:54.578408+0100 0x89d6ee   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> done using Connection 11
2025-12-10 21:56:54.578525+0100 0x89d6ee   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11] event: client:connection_idle @0.046s
2025-12-10 21:56:54.578557+0100 0x89d6ef   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Summary] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> summary for task success {transaction_duration_ms=52, response_status=200, connection=11, protocol="http/1.1", domain_lookup_duration_ms=0, connect_duration_ms=1, secure_connection_duration_ms=0, private_relay=false, request_start_ms=26, request_duration_ms=0, response_start_ms=51, response_duration_ms=0, request_bytes=356, request_throughput_kbps=3375, response_bytes=498, response_throughput_kbps=914, cache_hit=false}
2025-12-10 21:56:54.578609+0100 0x89d6ef   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <BFD65CC6-DF1B-4422-BB59-816E618C0E8B>.<4> finished successfully
2025-12-10 21:56:54.578695+0100 0x89d6ee   Default     0x0                  40941  0    App: (Network) [com.apple.network:connection] [C11] event: client:connection_idle @0.046s
2025-12-10 21:56:54.578945+0100 0x89d6ef   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Summary] Task <6D7CCB2C-600B-4C57-8720-A8B26EDAD096>.<3> summary for task success {transaction_duration_ms=58, response_status=200, cache_hit=true}
2025-12-10 21:56:54.578960+0100 0x89d6ef   Default     0x0                  40941  0    App: (CFNetwork) [com.apple.CFNetwork:Default] Task <6D7CCB2C-600B-4C57-8720-A8B26EDAD096>.<3> finished successfully
2025-12-10 21:56:55.042794+0100 0x89d6ed   Default     0x0                  40941  0    App: (BackBoardServices) [com.apple.BackBoard:EventDelivery] policyStatus:<BKSHIDEventDeliveryPolicyObserver: 0x600002112760; token: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.anonymous.App-default; status: ancestor> was:none
2025-12-10 21:56:55.042896+0100 0x89d6ed   Default     0x0                  40941  0    App: (BackBoardServices) [com.apple.BackBoard:EventDelivery] observerPolicyDidChange: 0x600002112760 -> <_UIKeyWindowSceneObserver: 0x600000c2d2c0>
2025-12-10 21:56:55.042948+0100 0x89ca36   Default     0x0                  40941  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene target of keyboard event deferring environment did change: 1; scene: UIWindowScene: 0x104b05000; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.anonymous.App-default
2025-12-10 21:56:55.043012+0100 0x89ca36   Default     0x0                  40941  1    App: (UIKitCore) [com.apple.UIKit:EventDeferring] [0x6000029024c0] Scene target of event deferring environments did update: scene: 0x104b05000; current systemShellManagesKeyboardFocus: 1; systemShellManagesKeyboardFocusForScene: 1; eligibleForRecordRemoval: 1;
2025-12-10 21:56:55.043046+0100 0x89ca36   Default     0x0                  40941  1    App: (UIKitCore) [com.apple.UIKit:KeyWindow] Scene became target of keyboard event deferring environment: UIWindowScene: 0x104b05000; scene identity: com.apple.frontboard.systemappservices/FBSceneManager:sceneID%3Acom.anonymous.App-default
2025-12-10 21:56:55.047390+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.UIKit:InterfaceStyle] Not push traits update to screen for new style 1, <UIWindowScene: 0x104b05000> (25A82B42-5273-4227-AE91-3F050AC55873)
